UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0
266,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0
296,M15155,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0
302,L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0
309,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0
317,L47496,L,297.8,308.4,1714,33.2,177,0,0,0,0,0,0
326,L47505,L,297.8,308.5,1699,27.8,199,0,0,0,0,0,0
331,M15190,M,297.6,308.4,1398,41.9,215,0,0,0,0,0,0
334,L47513,L,297.5,308.2,1647,31.3,3,0,0,0,0,0,0
335,M15194,M,297.5,308.1,1469,44.8,5,0,0,0,0,0,0
339,L47518,L,297.5,308.2,1563,38.2,15,0,0,0,0,0,0
340,M15199,M,297.5,308.2,1713,32.2,17,0,0,0,0,0,0
348,L47527,L,297.5,308.3,1544,40.8,37,0,0,0,0,0,0
356,L47535,L,297.6,308.3,1623,36.9,61,0,0,0,0,0,0
357,M15216,M,297.6,308.4,1398,48.9,63,0,0,0,0,0,0
370,H29783,H,297.5,308.4,1587,36.1,98,0,0,0,0,0,0
384,M15243,M,297.5,308.6,1842,27.0,133,0,0,0,0,0,0
391,L47570,L,297.6,308.7,1460,46.7,150,0,0,0,0,0,0
392,L47571,L,297.6,308.6,1491,38.1,152,0,0,0,0,0,0
394,M15253,M,297.5,308.4,1350,52.2,157,0,0,0,0,0,0
395,L47574,L,297.5,308.4,1528,39.9,160,0,0,0,0,0,0
397,L47576,L,297.4,308.3,1490,42.6,164,0,0,0,0,0,0
399,H29812,H,297.4,308.3,1502,43.6,169,0,0,0,0,0,0
403,L47582,L,297.4,308.6,1678,32.3,180,0,0,0,0,0,0
405,L47584,L,297.3,308.6,1297,45.9,184,0,0,0,0,0,0
408,M15267,M,297.4,308.5,1600,42.1,190,0,0,0,0,0,0
409,M15268,M,297.4,308.6,1434,44.4,193,0,0,0,0,0,0
411,M15270,M,297.5,308.6,1472,44.9,198,0,0,0,0,0,0
412,L47591,L,297.5,308.7,1429,44.3,201,0,0,0,0,0,0
421,M15280,M,297.3,308.3,1301,39.6,5,0,0,0,0,0,0
430,L47609,L,297.5,308.6,1208,62.3,28,0,0,0,0,0,0
435,M15294,M,297.5,308.5,1484,44.7,40,0,0,0,0,0,0
437,L47616,L,297.3,308.3,1504,36.3,45,0,0,0,0,0,0
439,L47618,L,297.4,308.4,1341,52.2,49,0,0,0,0,0,0
456,L47635,L,297.4,308.7,1429,57.4,96,0,0,0,0,0,0
464,L47643,L,297.4,308.7,2874,4.2,118,1,0,0,1,0,0
468,L47647,L,297.2,308.5,2182,16.5,127,0,0,0,0,0,0
471,H29884,H,297.3,308.8,1499,44.2,134,0,0,0,0,0,0
479,L47658,L,297.4,309.0,1833,22.6,161,0,0,0,0,0,0
480,M15339,M,297.4,308.9,1323,57.3,163,0,0,0,0,0,0
484,L47663,L,297.4,309.0,1324,56.9,173,0,0,0,0,0,0
501,M15360,M,297.5,309.2,1804,27.4,215,0,0,0,0,0,0
504,M15363,M,297.6,309.2,1442,48.1,0,0,0,0,0,0,0
506,L47685,L,297.6,309.3,1610,35.0,6,0,0,0,0,0,0
508,H29921,H,297.8,309.4,1445,48.2,10,0,0,0,0,0,0
512,L47691,L,297.5,309.3,1479,39.4,22,0,0,0,0,0,0
513,L47692,L,297.5,309.2,1426,44.8,24,0,0,0,0,0,0
516,L47695,L,297.5,309.2,1715,28.0,30,0,0,0,0,0,0
525,L47704,L,297.4,309.4,1620,35.4,51,0,0,0,0,0,0
526,L47705,L,297.4,309.4,1466,45.5,53,0,0,0,0,0,0
536,H29949,H,297.4,309.3,1365,52.4,76,0,0,0,0,0,0
538,H29951,H,297.4,309.3,1516,43.0,83,0,0,0,0,0,0
542,L47721,L,297.4,309.4,1296,52.3,96,0,0,0,0,0,0
543,L47722,L,297.5,309.4,1803,24.7,98,0,0,0,0,0,0
545,M15404,M,297.5,309.4,1831,26.6,105,0,0,0,0,0,0
549,L47728,L,297.4,309.3,1332,53.2,115,0,0,0,0,0,0
558,M15417,M,297.5,309.4,1433,48.3,139,0,0,0,0,0,0
560,L47739,L,297.5,309.4,1503,40.6,144,0,0,0,0,0,0
568,M15427,M,297.7,309.7,1680,30.2,168,0,0,0,0,0,0
575,M15434,M,297.9,310.0,1439,41.7,185,0,0,0,0,0,0
578,L47757,L,297.7,309.7,1591,37.7,196,0,0,0,0,0,0
582,L47761,L,297.8,309.7,1394,42.9,206,0,0,0,0,0,0
590,L47769,L,297.6,309.4,1491,40.2,231,0,0,0,0,0,0
592,H30005,H,297.5,309.3,1525,41.7,235,0,0,0,0,0,0
596,M15455,M,297.6,309.6,1330,53.1,7,0,0,0,0,0,0
598,H30011,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0
606,M15465,M,297.9,309.8,1693,29.9,35,0,0,0,0,0,0
616,L47795,L,298.1,309.9,1642,30.4,58,0,0,0,0,0,0
617,H30030,H,298.1,309.9,1686,29.1,60,0,0,0,0,0,0
639,L47818,L,298.0,309.6,1536,37.3,120,0,0,0,0,0,0
646,L47825,L,297.7,309.4,1392,44.1,140,0,0,0,0,0,0
647,M15506,M,297.7,309.4,1461,43.7,142,0,0,0,0,0,0
652,L47831,L,297.6,309.1,1503,38.9,157,0,0,0,0,0,0
653,L47832,L,297.7,309.2,1391,44.5,159,0,0,0,0,0,0
654,L47833,L,297.8,309.3,2015,20.1,161,0,0,0,0,0,0
670,H30083,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0
674,L47853,L,297.6,308.9,1449,47.7,209,0,0,0,0,0,0
679,M15538,M,297.8,309.2,1295,61.2,12,0,0,0,0,0,0
702,L47881,L,297.7,308.8,1515,40.1,82,0,0,0,0,0,0
711,M15570,M,297.5,308.7,1697,28.1,107,0,0,0,0,0,0
712,L47891,L,297.5,308.7,1443,46.2,110,0,0,0,0,0,0
723,L47902,L,297.5,308.9,1427,44.7,135,0,0,0,0,0,0
732,M15591,M,297.3,308.6,1431,53.0,160,0,0,0,0,0,0
741,M15600,M,296.9,308.4,1450,46.9,186,0,0,0,0,0,0
753,L47932,L,296.9,308.1,1422,48.7,215,0,0,0,0,0,0
755,M15614,M,296.9,308.1,1483,44.3,219,0,0,0,0,0,0
763,M15622,M,296.7,307.8,1286,60.5,0,0,0,0,0,0,0
767,L47946,L,296.8,308.0,1561,38.3,9,0,0,0,0,0,0
780,L47959,L,296.8,308.0,1666,29.8,41,0,0,0,0,0,0
791,L47970,L,296.8,307.9,1420,45.4,70,0,0,0,0,0,0
796,L47975,L,296.9,307.8,1605,37.0,84,0,0,0,0,0,0
799,M15658,M,296.9,307.8,1828,24.6,91,0,0,0,0,0,0
807,M15666,M,297.0,307.9,1422,53.0,115,0,0,0,0,0,0
819,L47998,L,296.8,307.6,1304,48.7,142,0,0,0,0,0,0
822,L48001,L,296.7,307.6,1474,41.7,148,0,0,0,0,0,0
828,L48007,L,296.5,307.3,1501,42.1,162,0,0,0,0,0,0
841,L48020,L,296.6,307.5,1582,37.9,197,0,0,0,0,0,0
845,L48024,L,296.5,307.5,1566,35.1,206,0,0,0,0,0,0
852,M15711,M,296.2,307.2,1389,48.6,7,0,0,0,0,0,0
855,M15714,M,296.3,307.3,1498,41.6,15,0,0,0,0,0,0
857,L48036,L,296.1,307.1,1898,22.7,20,0,0,0,0,0,0
860,H30273,H,296.2,307.0,1542,40.6,28,0,0,0,0,0,0
862,M15721,M,296.1,306.9,1951,23.3,38,0,0,0,0,0,0
863,H30276,H,296.1,306.8,1645,31.0,41,0,0,0,0,0,0
864,L48043,L,296.0,306.7,1416,44.2,46,0,0,0,0,0,0
865,M15724,M,296.0,306.7,2044,22.3,48,0,0,0,0,0,0
866,L48045,L,295.9,306.6,1414,50.2,51,0,0,0,0,0,0
873,M15732,M,295.8,306.4,1335,51.7,69,0,0,0,0,0,0
886,L48065,L,295.7,306.2,1397,52.0,101,0,0,0,0,0,0
888,H30301,H,295.7,306.2,2161,16.5,105,0,0,0,0,0,0
889,M15748,M,295.6,306.1,1651,28.1,110,0,0,0,0,0,0
900,H30313,H,295.6,306.2,1329,55.3,135,0,0,0,0,0,0
904,L48083,L,295.7,306.2,2270,14.6,149,1,0,0,1,0,0
906,L48085,L,295.6,306.1,1474,41.2,156,0,0,0,0,0,0
908,M15767,M,295.6,306.1,1669,29.0,161,0,0,0,0,0,0
911,L48090,L,295.5,306.0,1546,35.9,169,0,0,0,0,0,0
916,M15775,M,295.4,305.8,1526,38.2,181,0,0,0,0,0,0
918,L48097,L,295.3,305.7,1475,51.0,187,0,0,0,0,0,0
921,M15780,M,295.5,305.9,1518,44.1,194,0,0,0,0,0,0
927,L48106,L,295.6,306.1,1372,55.6,215,1,0,0,0,1,0
938,L48117,L,295.6,306.2,1263,61.8,27,0,0,0,0,0,0
939,L48118,L,295.6,306.2,1823,25.8,29,0,0,0,0,0,0
962,L48141,L,295.8,306.5,1493,40.5,90,0,0,0,0,0,0
968,M15827,M,295.9,306.6,1532,38.6,104,0,0,0,0,0,0
998,M15857,M,296.3,307.2,1446,45.9,180,0,0,0,0,0,0
1003,L48182,L,296.3,307.2,1646,35.0,192,0,0,0,0,0,0
1006,L48185,L,296.2,307.2,1382,52.0,201,0,0,0,0,0,0
1011,M15870,M,296.2,307.2,1552,34.8,8,0,0,0,0,0,0
1016,L48195,L,296.2,307.2,1356,43.6,22,0,0,0,0,0,0
1019,L48198,L,296.3,307.2,1291,58.6,29,0,0,0,0,0,0
1027,L48206,L,296.4,307.4,1512,36.8,46,0,0,0,0,0,0
1028,M15887,M,296.3,307.4,1335,50.5,48,0,0,0,0,0,0
1038,H30451,H,296.4,307.5,1596,35.1,75,0,0,0,0,0,0
1047,L48226,L,296.4,307.5,1331,47.8,99,0,0,0,0,0,0
1054,M15913,M,296.7,307.7,1597,32.1,114,0,0,0,0,0,0
1059,L48238,L,296.7,307.8,1605,31.3,128,0,0,0,0,0,0
1060,M15919,M,296.7,307.9,1874,21.3,130,0,0,0,0,0,0
1062,L48241,L,296.7,307.9,1420,50.1,138,0,0,0,0,0,0
1069,L48248,L,296.8,307.8,1394,47.7,155,0,0,0,0,0,0
1076,H30489,H,296.9,307.8,1345,54.5,172,0,0,0,0,0,0
1085,M15944,M,297.0,307.7,1498,47.1,199,0,0,0,0,0,0
1090,M15949,M,296.9,307.7,2008,17.5,3,0,0,0,0,0,0
1092,L48271,L,297.0,307.7,1447,46.4,8,0,0,0,0,0,0
1094,M15953,M,296.8,307.5,1443,39.2,13,0,0,0,0,0,0
1096,L48275,L,296.9,307.5,2721,9.3,18,1,0,0,1,0,0
1097,L48276,L,297.0,307.6,1680,35.8,20,0,0,0,0,0,0
1098,H30511,H,296.9,307.5,1397,48.3,22,0,0,0,0,0,0
1110,L48289,L,296.6,307.5,1557,35.1,60,0,0,0,0,0,0
1113,M15972,M,296.5,307.4,1350,55.6,69,0,0,0,0,0,0
1115,H30528,H,296.4,307.3,1540,37.4,75,0,0,0,0,0,0
1119,L48298,L,296.5,307.5,1443,41.8,87,0,0,0,0,0,0
1123,L48302,L,296.5,307.6,1541,38.5,98,0,0,0,0,0,0
1126,M15985,M,296.7,307.8,1375,51.4,108,0,0,0,0,0,0
1128,M15987,M,296.7,307.8,1672,32.4,113,0,0,0,0,0,0
1132,L48311,L,296.8,307.9,1489,33.4,123,0,0,0,0,0,0
1136,L48315,L,296.9,307.9,1535,39.2,133,0,0,0,0,0,0
1139,L48318,L,296.9,307.9,1435,41.6,139,0,0,0,0,0,0
1142,L48321,L,297.0,307.9,1635,31.6,147,0,0,0,0,0,0
1147,L48326,L,297.0,307.9,1529,42.2,157,0,0,0,0,0,0
1149,L48328,L,297.1,308.0,1348,58.0,162,0,0,0,0,0,0
1152,L48331,L,297.0,307.9,1350,47.7,168,0,0,0,0,0,0
1154,H30567,H,297.0,307.9,1448,45.6,172,0,0,0,0,0,0
1158,L48337,L,297.0,307.8,1583,37.2,189,0,0,0,0,0,0
1165,L48344,L,297.1,308.1,1754,30.3,206,0,0,0,0,0,0
1175,M16034,M,297.1,308.1,1352,44.4,0,0,0,0,0,0,0
1179,L48358,L,297.3,308.5,1398,60.4,12,0,0,0,0,0,0
1183,L48362,L,297.3,308.3,1410,48.1,23,0,0,0,0,0,0
1184,L48363,L,297.3,308.4,1513,40.5,25,0,0,0,0,0,0
1185,L48364,L,297.3,308.5,1497,47.5,27,0,0,0,0,0,0
1190,M16049,M,297.2,308.3,1794,27.5,38,0,0,0,0,0,0
1197,M16056,M,297.0,307.9,1493,34.7,57,0,0,0,0,0,0
1200,M16059,M,296.9,307.9,1979,20.4,68,0,0,0,0,0,0
1201,M16060,M,296.9,308.0,1430,55.9,71,0,0,0,0,0,0
1204,H30617,H,297.0,308.1,1410,47.6,79,0,0,0,0,0,0
1206,L48385,L,296.8,308.0,1371,54.5,86,0,0,0,0,0,0
1210,H30623,H,297.0,308.1,2540,13.3,98,0,0,0,0,0,0
1214,M16073,M,296.8,307.8,1551,38.9,112,0,0,0,0,0,0
1228,L48407,L,297.1,308.4,1422,42.1,148,0,0,0,0,0,0
1247,H30660,H,297.2,308.5,1653,33.3,207,0,0,0,0,0,0
1252,M16111,M,297.4,308.8,1359,48.7,220,0,0,0,0,0,0
1254,L48433,L,297.5,308.8,1309,57.3,0,0,0,0,0,0,0
1257,M16116,M,297.5,308.9,1535,37.7,12,0,0,0,0,0,0
1265,M16124,M,297.8,309.3,2243,15.7,36,0,0,0,0,0,0
1269,L48448,L,298.0,309.5,1496,45.8,46,0,0,0,0,0,0
1271,M16130,M,298.0,309.4,1276,65.9,50,0,0,0,0,0,0
1272,H30685,H,298.0,309.4,1490,40.5,53,0,0,0,0,0,0
1274,L48453,L,298.1,309.4,1397,48.2,63,0,0,0,0,0,0
1290,M16149,M,298.6,309.7,1635,32.2,110,0,0,0,0,0,0
1296,L48475,L,298.7,309.8,1402,54.3,128,0,0,0,0,0,0
1305,L48484,L,298.8,310.0,2098,19.6,148,0,0,0,0,0,0
1310,L48489,L,298.9,310.2,1654,31.1,158,0,0,0,0,0,0
1313,L48492,L,298.9,310.1,1473,42.6,164,0,0,0,0,0,0
1317,L48496,L,299.0,310.3,1507,36.7,173,0,0,0,0,0,0
1318,L48497,L,299.0,310.3,1428,46.3,175,0,0,0,0,0,0
1320,L48499,L,299.0,310.3,1929,24.4,180,0,0,0,0,0,0
1330,H30743,H,298.8,310.2,1663,30.4,209,0,0,0,0,0,0
1333,L48512,L,299.0,310.3,1868,24.0,221,0,0,0,0,0,0
1346,L48525,L,298.5,310.0,1804,26.1,22,0,0,0,0,0,0
1350,L48529,L,298.7,310.2,1402,45.9,30,0,0,0,0,0,0
1366,L48545,L,298.7,310.1,1676,33.5,70,0,0,0,0,0,0
1370,M16229,M,298.7,310.3,1481,41.5,83,0,0,0,0,0,0
1372,M16231,M,298.7,310.3,1495,38.7,88,0,0,0,0,0,0
1389,H30802,H,298.9,310.1,1491,45.3,133,0,0,0,0,0,0
1391,L48570,L,298.9,310.2,1409,54.8,140,0,0,0,0,0,0
1392,L48571,L,298.9,310.2,2737,8.8,142,1,0,0,1,0,0
1397,L48576,L,299.0,310.3,1483,39.2,153,0,0,0,0,0,0
1398,L48577,L,299.1,310.2,1569,38.2,155,0,0,0,0,0,0
1402,H30815,H,298.9,310.2,1532,37.7,166,0,0,0,0,0,0
1403,M16262,M,298.9,310.1,1313,56.8,171,0,0,0,0,0,0
1412,L48591,L,298.9,310.1,1944,23.4,192,0,0,0,0,0,0
1418,L48597,L,298.7,309.9,1541,38.5,208,0,0,0,0,0,0
1428,L48607,L,298.7,309.8,1394,40.3,11,0,0,0,0,0,0
1440,M16299,M,298.8,309.8,1534,37.0,47,0,0,0,0,0,0
1459,L48638,L,298.9,310.3,1364,54.0,95,0,0,0,0,0,0
1462,L48641,L,298.9,310.2,1491,45.1,101,0,0,0,0,0,0
1463,L48642,L,298.9,310.2,1706,27.6,103,0,0,0,0,0,0
1466,L48645,L,298.7,309.8,1546,40.9,109,0,0,0,0,0,0
1468,L48647,L,298.6,309.8,1544,30.2,113,0,0,0,0,0,0
1478,L48657,L,298.3,309.4,1570,35.6,138,0,0,0,0,0,0
1495,M16354,M,298.0,308.7,1377,48.5,181,0,0,0,0,0,0
1496,H30909,H,297.9,308.5,1383,44.6,184,0,0,0,0,0,0
1498,L48677,L,298.0,308.7,1629,34.3,191,0,0,0,0,0,0
1499,L48678,L,298.0,308.8,1790,27.2,193,0,0,0,0,0,0
1504,L48683,L,298.0,308.7,1771,26.2,206,0,0,0,0,0,0
1509,M16368,M,298.0,308.6,1507,37.3,217,0,0,0,0,0,0
1511,M16370,M,298.1,308.7,1547,38.9,0,0,0,0,0,0,0
1512,L48691,L,298.1,308.7,1642,30.3,3,0,0,0,0,0,0
1522,M16381,M,298.2,308.9,1585,34.3,33,0,0,0,0,0,0
1524,L48703,L,298.3,309.0,1519,36.9,41,0,0,0,0,0,0
1539,L48718,L,298.4,309.1,1798,29.6,81,0,0,0,0,0,0
1546,M16405,M,298.4,309.0,1544,38.8,97,0,0,0,0,0,0
1551,L48730,L,298.4,308.9,1638,32.4,109,0,0,0,0,0,0
1553,L48732,L,298.5,308.9,1781,27.8,113,0,0,0,0,0,0
1558,L48737,L,298.3,308.4,1585,30.6,127,0,0,0,0,0,0
1560,L48739,L,298.2,308.3,1458,41.8,132,0,0,0,0,0,0
1563,L48742,L,298.2,308.3,2216,16.8,139,0,0,0,0,0,0
1567,M16426,M,298.0,308.1,1403,44.8,148,0,0,0,0,0,0
1569,L48748,L,298.2,308.2,1407,47.1,153,0,0,0,0,0,0
1573,L48752,L,298.2,308.3,1230,59.6,162,0,0,0,0,0,0
1577,L48756,L,298.3,308.4,1490,41.7,170,0,0,0,0,0,0
1578,L48757,L,298.3,308.4,1484,43.4,172,0,0,0,0,0,0
1580,L48759,L,298.3,308.3,1444,43.8,176,0,0,0,0,0,0
1582,M16441,M,298.2,308.3,1560,33.0,181,0,0,0,0,0,0
1585,M16444,M,298.2,308.3,1639,33.3,191,0,0,0,0,0,0
1605,L48784,L,297.8,307.8,1452,39.8,21,0,0,0,0,0,0
1609,L48788,L,297.8,307.7,1393,38.0,29,0,0,0,0,0,0
1616,L48795,L,297.8,307.9,1447,48.6,46,0,0,0,0,0,0
1617,H31030,H,297.8,307.8,1662,30.7,48,0,0,0,0,0,0
1624,L48803,L,297.7,307.6,1921,22.9,68,0,0,0,0,0,0
1631,L48810,L,297.9,307.9,1412,44.5,85,0,0,0,0,0,0
1635,H31048,H,297.9,307.9,1406,58.5,93,0,0,0,0,0,0
1639,L48818,L,297.9,307.8,1397,45.0,104,0,0,0,0,0,0
1640,M16499,M,297.9,307.8,1450,43.5,106,0,0,0,0,0,0
1641,L48820,L,298.0,307.8,1567,36.4,109,0,0,0,0,0,0
1643,H31056,H,298.0,307.8,1588,35.4,114,0,0,0,0,0,0
1653,H31066,H,297.9,307.8,1635,34.0,142,0,0,0,0,0,0
1657,L48836,L,298.2,308.1,1532,42.5,154,0,0,0,0,0,0
1670,L48849,L,298.2,307.9,1544,31.4,192,0,0,0,0,0,0
1685,L48864,L,297.8,307.3,1438,44.5,3,0,0,0,0,0,0
1690,L48869,L,297.9,307.5,1561,37.7,16,0,0,0,0,0,0
1691,M16550,M,297.9,307.4,1435,42.9,18,0,0,0,0,0,0
1692,L48871,L,297.9,307.5,1602,38.3,21,0,0,0,0,0,0
1698,M16557,M,297.9,307.6,1519,44.0,37,0,0,0,0,0,0
1701,M16560,M,298.0,307.6,1844,23.8,44,0,0,0,0,0,0
1703,L48882,L,298.0,307.7,1430,47.3,49,0,0,0,0,0,0
1709,L48888,L,298.2,307.8,1627,31.5,64,0,0,0,0,0,0
1713,L48892,L,298.3,307.9,1551,33.8,72,0,0,0,0,0,0
1716,L48895,L,298.2,307.8,1585,34.6,78,0,0,0,0,0,0
1722,L48901,L,298.2,307.7,1688,32.4,91,0,0,0,0,0,0
1737,L48916,L,298.4,307.9,1544,35.9,132,0,0,0,0,0,0
1738,L48917,L,298.4,307.9,1743,27.3,134,0,0,0,0,0,0
1757,M16616,M,298.1,307.4,1363,60.1,187,0,0,0,0,0,0
1759,L48938,L,298.1,307.4,1608,33.9,193,0,0,0,0,0,0
1766,L48945,L,298.2,307.6,1368,51.8,5,0,0,0,0,0,0
1774,L48953,L,298.5,308.0,1384,59.5,27,0,0,0,0,0,0
1787,L48966,L,298.4,308.2,1618,33.0,61,0,0,0,0,0,0
1791,L48970,L,298.2,307.9,1847,23.6,69,0,0,0,0,0,0
1796,M16655,M,298.1,307.7,1498,38.3,81,0,0,0,0,0,0
1798,M16657,M,298.0,307.6,1508,41.8,89,0,0,0,0,0,0
1801,M16660,M,298.0,307.5,1524,36.3,98,0,0,0,0,0,0
1805,L48984,L,298.1,307.7,1495,48.1,111,0,0,0,0,0,0
1809,L48988,L,298.1,307.7,2567,12.8,125,1,0,0,1,0,0
1812,M16671,M,298.1,307.8,1569,31.2,131,0,0,0,0,0,0
1816,M16675,M,298.1,307.6,1565,36.3,140,0,0,0,0,0,0
1817,L48996,L,298.1,307.6,1460,46.5,143,0,0,0,0,0,0
1819,M16678,M,298.1,307.7,1435,40.9,147,0,0,0,0,0,0
1835,L49014,L,297.8,307.2,1498,38.1,188,0,0,0,0,0,0
1837,L49016,L,297.7,307.2,1518,35.8,195,0,0,0,0,0,0
1840,L49019,L,297.7,307.1,1715,30.2,0,0,0,0,0,0,0
1843,H31256,H,297.7,307.1,1855,22.5,7,0,0,0,0,0,0
1848,L49027,L,297.8,307.3,1412,50.7,24,0,0,0,0,0,0
1849,H31262,H,297.7,307.2,1429,44.1,26,0,0,0,0,0,0
1856,H31269,H,297.7,307.3,1249,62.8,47,0,0,0,0,0,0
1865,L49044,L,297.9,307.7,1546,37.6,72,0,0,0,0,0,0
1867,M16726,M,298.1,307.9,1662,28.9,76,0,0,0,0,0,0
1869,L49048,L,298.3,308.0,1361,56.9,81,0,0,0,0,0,0
1871,L49050,L,298.3,308.0,1486,42.3,86,0,0,0,0,0,0
1876,L49055,L,298.3,308.0,1363,50.1,96,0,0,0,0,0,0
1878,M16737,M,298.2,307.8,1566,33.8,100,0,0,0,0,0,0
1881,L49060,L,298.1,307.7,1705,29.1,109,0,0,0,0,0,0
1883,M16742,M,298.0,307.6,1581,43.4,113,0,0,0,0,0,0
1885,M16744,M,298.0,307.6,1792,26.0,119,0,0,0,0,0,0
1887,L49066,L,297.9,307.6,1503,40.7,124,0,0,0,0,0,0
1889,M16748,M,297.8,307.4,1902,24.3,129,0,0,0,0,0,0
1894,L49073,L,297.8,307.5,1631,29.9,144,0,0,0,0,0,0
1897,L49076,L,297.9,307.5,1574,35.8,153,0,0,0,0,0,0
1913,M16772,M,298.0,307.7,1621,34.9,194,0,0,0,0,0,0
1920,L49099,L,298.2,308.0,1658,30.0,3,0,0,0,0,0,0
1921,L49100,L,298.1,307.9,2161,17.5,5,0,0,0,0,0,0
